Site,Vol,Prob,Type,NUMBERO
Weilbull Not Metered 4-Lane,130,1.11E-27,Weilbull,2
Weilbull Not Metered 4-Lane,140,5.76E-27,Weilbull,2
Weilbull Not Metered 4-Lane,150,2.67E-26,Weilbull,2
Weilbull Not Metered 4-Lane,160,1.12E-25,Weilbull,2
Weilbull Not Metered 4-Lane,170,4.33E-25,Weilbull,2
Weilbull Not Metered 4-Lane,180,1.54E-24,Weilbull,2
Weilbull Not Metered 4-Lane,190,5.14E-24,Weilbull,2
Weilbull Not Metered 4-Lane,200,1.61E-23,Weilbull,2
Weilbull Not Metered 4-Lane,210,4.76E-23,Weilbull,2
Weilbull Not Metered 4-Lane,220,1.34E-22,Weilbull,2
Weilbull Not Metered 4-Lane,230,3.60E-22,Weilbull,2
Weilbull Not Metered 4-Lane,240,9.28E-22,Weilbull,2
Weilbull Not Metered 4-Lane,250,2.30E-21,Weilbull,2
Weilbull Not Metered 4-Lane,260,5.51E-21,Weilbull,2
Weilbull Not Metered 4-Lane,270,1.28E-20,Weilbull,2
Weilbull Not Metered 4-Lane,280,2.86E-20,Weilbull,2
Weilbull Not Metered 4-Lane,290,6.25E-20,Weilbull,2
Weilbull Not Metered 4-Lane,300,1.33E-19,Weilbull,2
Weilbull Not Metered 4-Lane,310,2.76E-19,Weilbull,2
Weilbull Not Metered 4-Lane,320,5.59E-19,Weilbull,2
Weilbull Not Metered 4-Lane,330,1.11E-18,Weilbull,2
Weilbull Not Metered 4-Lane,340,2.15E-18,Weilbull,2
Weilbull Not Metered 4-Lane,350,4.10E-18,Weilbull,2
Weilbull Not Metered 4-Lane,360,7.68E-18,Weilbull,2
Weilbull Not Metered 4-Lane,370,1.41E-17,Weilbull,2
Weilbull Not Metered 4-Lane,380,2.56E-17,Weilbull,2
Weilbull Not Metered 4-Lane,390,4.56E-17,Weilbull,2
Weilbull Not Metered 4-Lane,400,8.00E-17,Weilbull,2
Weilbull Not Metered 4-Lane,410,1.39E-16,Weilbull,2
Weilbull Not Metered 4-Lane,420,2.37E-16,Weilbull,2
Weilbull Not Metered 4-Lane,430,4.00E-16,Weilbull,2
Weilbull Not Metered 4-Lane,440,6.67E-16,Weilbull,2
Weilbull Not Metered 4-Lane,450,1.10E-15,Weilbull,2
Weilbull Not Metered 4-Lane,460,1.79E-15,Weilbull,2
Weilbull Not Metered 4-Lane,470,2.89E-15,Weilbull,2
Weilbull Not Metered 4-Lane,480,4.62E-15,Weilbull,2
Weilbull Not Metered 4-Lane,490,7.31E-15,Weilbull,2
Weilbull Not Metered 4-Lane,500,1.15E-14,Weilbull,2
Weilbull Not Metered 4-Lane,510,1.78E-14,Weilbull,2
Weilbull Not Metered 4-Lane,520,2.74E-14,Weilbull,2
Weilbull Not Metered 4-Lane,530,4.19E-14,Weilbull,2
Weilbull Not Metered 4-Lane,540,6.35E-14,Weilbull,2
Weilbull Not Metered 4-Lane,550,9.55E-14,Weilbull,2
Weilbull Not Metered 4-Lane,560,1.43E-13,Weilbull,2
Weilbull Not Metered 4-Lane,570,2.11E-13,Weilbull,2
Weilbull Not Metered 4-Lane,580,3.11E-13,Weilbull,2
Weilbull Not Metered 4-Lane,590,4.55E-13,Weilbull,2
Weilbull Not Metered 4-Lane,600,6.61E-13,Weilbull,2
Weilbull Not Metered 4-Lane,610,9.55E-13,Weilbull,2
Weilbull Not Metered 4-Lane,620,1.37E-12,Weilbull,2
Weilbull Not Metered 4-Lane,630,1.96E-12,Weilbull,2
Weilbull Not Metered 4-Lane,640,2.78E-12,Weilbull,2
Weilbull Not Metered 4-Lane,650,3.93E-12,Weilbull,2
Weilbull Not Metered 4-Lane,660,5.51E-12,Weilbull,2
Weilbull Not Metered 4-Lane,670,7.70E-12,Weilbull,2
Weilbull Not Metered 4-Lane,680,1.07E-11,Weilbull,2
Weilbull Not Metered 4-Lane,690,1.48E-11,Weilbull,2
Weilbull Not Metered 4-Lane,700,2.04E-11,Weilbull,2
Weilbull Not Metered 4-Lane,710,2.80E-11,Weilbull,2
Weilbull Not Metered 4-Lane,720,3.82E-11,Weilbull,2
Weilbull Not Metered 4-Lane,730,5.19E-11,Weilbull,2
Weilbull Not Metered 4-Lane,740,7.03E-11,Weilbull,2
Weilbull Not Metered 4-Lane,750,9.47E-11,Weilbull,2
Weilbull Not Metered 4-Lane,760,1.27E-10,Weilbull,2
Weilbull Not Metered 4-Lane,770,1.70E-10,Weilbull,2
Weilbull Not Metered 4-Lane,780,2.27E-10,Weilbull,2
Weilbull Not Metered 4-Lane,790,3.01E-10,Weilbull,2
Weilbull Not Metered 4-Lane,800,3.98E-10,Weilbull,2
Weilbull Not Metered 4-Lane,810,5.25E-10,Weilbull,2
Weilbull Not Metered 4-Lane,820,6.90E-10,Weilbull,2
Weilbull Not Metered 4-Lane,830,9.03E-10,Weilbull,2
Weilbull Not Metered 4-Lane,840,1.18E-09,Weilbull,2
Weilbull Not Metered 4-Lane,850,1.53E-09,Weilbull,2
Weilbull Not Metered 4-Lane,860,1.99E-09,Weilbull,2
Weilbull Not Metered 4-Lane,870,2.57E-09,Weilbull,2
Weilbull Not Metered 4-Lane,880,3.32E-09,Weilbull,2
Weilbull Not Metered 4-Lane,890,4.27E-09,Weilbull,2
Weilbull Not Metered 4-Lane,900,5.47E-09,Weilbull,2
Weilbull Not Metered 4-Lane,910,6.99E-09,Weilbull,2
Weilbull Not Metered 4-Lane,920,8.92E-09,Weilbull,2
Weilbull Not Metered 4-Lane,930,1.13E-08,Weilbull,2
Weilbull Not Metered 4-Lane,940,1.44E-08,Weilbull,2
Weilbull Not Metered 4-Lane,950,1.82E-08,Weilbull,2
Weilbull Not Metered 4-Lane,960,2.30E-08,Weilbull,2
Weilbull Not Metered 4-Lane,970,2.89E-08,Weilbull,2
Weilbull Not Metered 4-Lane,980,3.64E-08,Weilbull,2
Weilbull Not Metered 4-Lane,990,4.56E-08,Weilbull,2
Weilbull Not Metered 4-Lane,1000,5.70E-08,Weilbull,2
Weilbull Not Metered 4-Lane,1010,7.11E-08,Weilbull,2
Weilbull Not Metered 4-Lane,1020,8.86E-08,Weilbull,2
Weilbull Not Metered 4-Lane,1030,1.10E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1040,1.36E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1050,1.69E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1060,2.08E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1070,2.57E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1080,3.16E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1090,3.88E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1100,4.75E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1110,5.81E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1120,7.09E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1130,8.64E-07,Weilbull,2
Weilbull Not Metered 4-Lane,1140,1.05E-06,Weilbull,2
Weilbull Not Metered 4-Lane,1150,1.28E-06,Weilbull,2
Weilbull Not Metered 4-Lane,1160,1.55E-06,Weilbull,2
Weilbull Not Metered 4-Lane,1170,1.87E-06,Weilbull,2
Weilbull Not Metered 4-Lane,1180,2.26E-06,Weilbull,2
Weilbull Not Metered 4-Lane,1190,2.73E-06,Weilbull,2
